pair_id,category,split,lost_image,found_image,positive_caption,hard_negative_caption
lunchbox_001,Lunchboxes,train,lost_lunchbox_01.png,found_lunchbox_01.png,"Pink plastic bento lunchbox with cream/beige side clip latches, rectangular shape, clear lid compartment with a single cutlery slot","Pink plastic bento lunchbox with red side clip latches, rectangular shape, clear lid compartment with a single cutlery slot"
lunchbox_002,Lunchboxes,train,lost_lunchbox_02.png,found_lunchbox_02.png,"Black leatherette cylindrical carry case with a chrome metal seam clasp around the middle, shoulder strap with metal clip hardware, rounded square silhouette","Black leatherette cylindrical carry case with a chrome metal seam clasp around the middle, woven fabric handle on top, rounded square silhouette"
lunchbox_003,Lunchboxes,train,lost_lunchbox_03.png,found_lunchbox_03.png,"Beige/tan plastic rectangular lunchbox with side handles, snap-close lid, ""LUNCH BOX"" text embossed on the upper tray","Beige/tan plastic rectangular lunchbox with side handles, snap-close lid, ""DELICIOUS"" text embossed on the upper tray"
lunchbox_004,Lunchboxes,train,lost_lunchbox_04.png,found_lunchbox_04.png,"Blue and white plastic lunchbox, rounded rectangular shape, blue lid with a circular indent in the center, white side clip latches on all four sides","Green and white plastic lunchbox, rounded rectangular shape, green lid with a circular indent in the center, white side clip latches on all four sides"
lunchbox_005,Lunchboxes,train,lost_lunchbox_05.png,found_lunchbox_05.png,"Sage green two-tier round lunchbox, chrome metal seam bands between each layer, white plastic carry handle on top, white square side clip latches","Sage green three-tier round lunchbox, chrome metal seam bands between each layer, white plastic carry handle on top, white square side clip latches"
lunchbox_006,Lunchboxes,train,lost_lunchbox_06.png,found_lunchbox_06.png,"White plastic three-tier stackable lunchbox, brown accent seams between each layer, brown side clip latches, ""DELICIOUS Have a nice day!"" text on the bottom tier","White plastic three-tier stackable lunchbox, silver accent seams between each layer, brown side clip latches, ""DELICIOUS Have a nice day!"" text on the bottom tier"
lunchbox_007,Lunchboxes,train,lost_lunchbox_07.png,found_lunchbox_07.png,"Dark teal plastic rectangular lunchbox, smoky transparent lid, bold yellow latch clasp on the front, rounded corners","Dark teal plastic rectangular lunchbox, smoky transparent lid, bold yellow latch clasp on the front, sharp squared corners"
lunchbox_008,Lunchboxes,train,lost_lunchbox_08.png,found_lunchbox_08.png,"Blue Spider-Man ""Spider-Sense"" plastic lunchbox, clear transparent lid over blue printed insert, red side clip latches on all four corners, rectangular shape","Blue Spider-Man ""Spider-Sense"" plastic lunchbox, frosted opaque lid over blue printed insert, red side clip latches on all four corners, rectangular shape"
lunchbox_009,Lunchboxes,train,lost_lunchbox_09.png,found_lunchbox_09.png,"Blush pink Stanley hard-shell lunchbox, textured fabric exterior, recessed rectangular front panel, silver zipper hardware, rope top carry handle","Blush pink Stanley hard-shell lunchbox, textured fabric exterior, recessed rectangular front panel, gold zipper hardware, rope top carry handle"
lunchbox_010,Lunchboxes,train,lost_lunchbox_10.png,found_lunchbox_10.png,"Polished stainless steel four-tier round tiffin lunchbox, black plastic top carry handle, metal wire latch bands wrapping all tiers","Polished stainless steel four-tier round tiffin lunchbox, black plastic top carry handle, plastic snap clip latches on the side"
lunchbox_011,Lunchboxes,train,lost_lunchbox_11.png,found_lunchbox_11.png,"Bright green Sunnyware plastic rectangular lunchbox, semi-transparent lid, oval ""Sunny Lunch Box"" label sticker centered on top, rounded corners","Bright yellow Sunnyware plastic rectangular lunchbox, semi-transparent lid, oval ""Sunny Lunch Box"" label sticker centered on top, rounded corners"
lunchbox_012,Lunchboxes,train,lost_lunchbox_12.png,found_lunchbox_12.png,"Green Minecraft Smiggle plastic rectangular lunchbox, clear lid with dual Creeper and TNT pixel art print, black side clip latches on all four corners","Green Minecraft Smiggle plastic rectangular lunchbox, clear lid with dual Creeper and TNT pixel art print, red side clip latches on all four corners"
lunchbox_013,Lunchboxes,train,lost_lunchbox_13.png,found_lunchbox_13.png,"Lavender/purple plastic rectangular lunchbox, stainless steel inner tray visible through clear lid, ""lucky!!! lucky!!!"" text and mangosteen fruit graphic printed on inner tray, purple side clip latches","Lavender/purple plastic rectangular lunchbox, stainless steel inner tray visible through clear lid, ""lucky!!! lucky!!!"" text and mangosteen fruit graphic printed on inner tray, white side clip latches"
lunchbox_014,Lunchboxes,train,lost_lunchbox_14.png,found_lunchbox_14.png,"Mint green plastic rectangular lunchbox, stainless steel inner tray with a teal circular button vent on top, clear see-through lid, rounded corners","Mint green plastic rectangular lunchbox, stainless steel inner tray with a teal circular button vent on top, fully opaque solid lid, rounded corners"
lunchbox_015,Lunchboxes,train,lost_lunchbox_15.png,found_lunchbox_15.png,"Dark smoky black ""ENJOY Meal time"" plastic rectangular lunchbox, diamond-pattern textured transparent lid panel, rectangular shape","Dark smoky black ""ENJOY Meal time"" plastic rectangular lunchbox, smooth untextured transparent lid panel, rectangular shape"
lunchbox_016,Lunchboxes,train,lost_lunchbox_16.png,found_lunchbox_16.png,"Clear white plastic rectangular lunchbox, fully transparent lid showing divided stainless steel inner tray, white side clip latches on all four sides","Clear white plastic rectangular lunchbox, fully transparent lid showing single undivided stainless steel inner tray, white side clip latches on all four sides"
lunchbox_017,Lunchboxes,train,lost_lunchbox_17.png,found_lunchbox_17.png,"Mint green plastic rectangular lunchbox, darker green recessed rectangular panel on lid, rounded corners, green side clip latches","Mint green plastic rectangular lunchbox, darker green recessed rectangular panel on lid, sharp square corners, green side clip latches"
lunchbox_018,Lunchboxes,train,lost_lunchbox_18.png,found_lunchbox_18.png,"Dark grey and orange two-tier rectangular lunchbox, bold orange rubber seal border framing the transparent lid, grey oval vent button centered on top","Dark grey and orange two-tier rectangular lunchbox, bold orange rubber seal border framing the transparent lid, round glossy black vent button centered on top"
lunchbox_019,Lunchboxes,train,lost_lunchbox_19.png,found_lunchbox_19.png,"White and light green ""HEALTHY Healthy Life"" plastic oval lunchbox, green horizontal band across the lid, circular green button vent on the right side of band","White and light green ""HEALTHY Healthy Life"" plastic oval lunchbox, green horizontal band across the lid, rectangular green slider vent on the right side of band"
lunchbox_020,Lunchboxes,train,lost_lunchbox_20.png,found_lunchbox_20.png,"White EiMai two-tier round thermos lunchbox, purple dome lid, purple accent seam band around the middle, ""EiMai"" logo on body","Pink EiMai two-tier round thermos lunchbox, purple dome lid, purple accent seam band around the middle, ""EiMai"" logo on body"
lunchbox_021,Lunchboxes,train,lost_lunchbox_21.png,found_lunchbox_21.png,"Light pink Baby Pro lunchbox, smooth matte plastic, rectangular lid with rounded corners, hot pink side latches and carry handle.","Light pink Baby Pro lunchbox, smooth matte plastic, rectangular lid with sharp square corners, hot pink side latches and carry handle."
lunchbox_022,Lunchboxes,train,lost_lunchbox_22.jpg,found_lunchbox_22.jpg,"Matte peach/blush pink oval lunchbox, smooth plastic body, thin chrome seam band around the middle, flat top-mounted carry handle","Matte peach/blush pink oval lunchbox, smooth plastic body, thin chrome seam band around the middle, rope loop carry handle on top"
lunchbox_023,Lunchboxes,train,lost_lunchbox_23.jpg,found_lunchbox_23.jpg,"Red and white ""Home Sweet Home"" house-shaped plastic lunchbox, red brick-textured roof lid, white container body with house and fence illustration, green fabric carry strap","Red and white ""Home Sweet Home"" house-shaped plastic lunchbox, red brick-textured roof lid, white container body with house and fence illustration, yellow plastic carry handle"
